model,layer,head,cos_self,cos_null,excess,n,kv_group,n_kv_heads,cos_across_group,status,run_id
gpt2,11,2,0.43078256461836173,0.39671776112652124,0.03406480349184049,13781,2,12,nan,completed,7600d12b0536
gpt2,11,3,0.7238520949367142,0.5401743259957666,0.18367776894094756,13781,3,12,nan,completed,7600d12b0536
gpt2,11,4,0.40597261842596727,0.3701243776969234,0.035848240729043857,13781,4,12,nan,completed,7600d12b0536
gpt2,11,5,0.4471529339957244,0.37739601545694534,0.06975691853877908,13781,5,12,nan,completed,7600d12b0536
gpt2,11,6,0.418777166322603,0.3754289319764302,0.0433482343461728,13781,6,12,nan,completed,7600d12b0536
gpt2,11,7,0.4667874914530892,0.3737774067255833,0.09301008472750588,13781,7,12,nan,completed,7600d12b0536
gpt2,11,8,0.7730222207834143,0.5835300907597893,0.18949213002362497,13781,8,12,nan,completed,7600d12b0536
gpt2,11,9,0.3883487113859063,0.3455902557410544,0.04275845564485192,13781,9,12,nan,completed,7600d12b0536
gpt2,11,10,0.41850474764552126,0.21768855688327216,0.2008161907622491,13781,10,12,nan,completed,7600d12b0536
gpt2,11,11,0.48391758040303506,0.30084592326969084,0.18307165713334422,13781,11,12,nan,completed,7600d12b0536
